date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-15,0.7395733150059118,0.7395733140271038,0.739573315887477,44754818694
2024-12-16,0.7319136960865951,0.7319136951888761,0.7319136970352599,44754818694
2024-12-17,0.7242540771672784,0.7242540761011458,0.7242540781517526,44754818694
2024-12-18,0.7165944582479618,0.716594457308477,0.7165944592762561,44754818694
2024-12-19,0.7089348393286452,0.7089348382956746,0.7089348404289827,44754818694
2024-12-20,0.7012752204093284,0.7012752192940186,0.7012752215742554,44754818694
2024-12-21,0.6936156014900118,0.6936156004200091,0.6936156027589426,44754818694
2024-12-22,0.6859559825706951,0.6859559814294167,0.6859559838628119,44754818694
2024-12-23,0.6782963636513785,0.6782963622408666,0.6782963651441803,44754818694
2024-12-24,0.6706367447320618,0.6706367433154319,0.6706367466360481,44754818694
2024-12-25,0.6629771258127451,0.6629771241848958,0.6629771279179788,44754818694
2024-12-26,0.6553175068934285,0.6553175048828225,0.6553175092839949,44754818694
2024-12-27,0.6476578879741118,0.6476578857377685,0.647657891222015,44754818694
2024-12-28,0.6399982690547951,0.639998266346597,0.6399982727730308,44754818694
2024-12-29,0.6323386501354784,0.6323386471097358,0.6323386541848122,44754818694
2024-12-30,0.6246790312161619,0.6246790279161,0.6246790358391563,44754818694
2025-02-25,1.0,0.9999999986175078,1.000000001196728,4475482043
2025-02-26,1.0,0.9999999987314315,1.000000001301275,4475482043
2025-02-27,1.0,0.9999999987536747,1.0000000013265185,4475482043
2025-02-28,1.0,0.9999999987958094,1.0000000013365251,4475482043
2025-03-01,1.0,0.9999999986836197,1.0000000013840857,4475482043
2025-03-02,1.0,0.999999998648331,1.0000000013209336,4475482043
2025-03-03,1.0,0.9999999986828294,1.0000000013575254,4475482043
2025-03-04,1.0,0.9999999985831982,1.0000000013085266,4475482043
2025-03-05,1.0,0.9999999986876436,1.0000000013933947,4475482043
2025-03-06,1.0,0.9999999987038665,1.0000000013000476,4475482043
2025-03-07,1.0,0.9999999986184749,1.0000000013227175,4475482043
2025-03-08,1.0,0.999999998579594,1.0000000014916122,4475482043
2025-03-09,1.0,0.999999998565678,1.0000000013534573,4475482043
2025-03-10,1.0,0.9999999985898613,1.0000000014391621,4475482043
2025-03-11,1.0,0.9999999985835792,1.000000001424363,4475482043
2025-03-12,1.0,0.9999999985263036,1.0000000014000614,4475482043
2025-03-13,1.0,0.9999999984564227,1.000000001447761,4475482043
2025-03-14,1.0,0.9999999983693716,1.0000000013823263,4475482043
