ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-17,1.159612481754356,43675358311,2,0.0,0.0,0.0,0.840387518245644,0.420193759122822,0.0
2025-02-24,1.14712842495603,43675358311,0,0.0,0.0,0.0,1.14712842495603,,0.0
2025-02-03,0.3227986052085582,43675358612,2,0.0,0.0,0.0,1.677201394791442,0.838600697395721,0.0
2025-02-10,0.3837685472227106,43675358612,1,0.0,0.0,0.0,0.6162314527772894,0.6162314527772894,0.0
2025-02-17,0.5126707848921492,43675358612,0,0.0,0.0,0.0,0.5126707848921492,,0.0
2025-02-24,0.5678289454776073,43675358612,0,0.0,0.0,0.0,0.5678289454776073,,0.0
2025-02-03,0.0052300353392121975,43675358930,0,0.0,0.0,0.0,0.0052300353392121975,,0.0
2025-02-10,0.020223449491159402,43675358930,0,0.0,0.0,0.0,0.020223449491159402,,0.0
2025-02-17,0.02869540950688182,43675358930,0,0.0,0.0,0.0,0.02869540950688182,,0.0
2025-02-24,0.02056500437760199,43675358930,1,0.0,0.0,0.0,0.979434995622398,0.979434995622398,0.0
2025-02-03,1.1844867863664152,43675359537,0,0.0,0.0,0.0,1.1844867863664152,,0.0
2025-02-10,1.47191151057485,43675359537,1,0.0,0.0,0.0,0.4719115105748499,0.4719115105748499,0.0
2025-02-17,2.0419679307056633,43675359537,0,0.0,0.0,0.0,2.0419679307056633,,0.0
2025-02-24,2.2533892732718988,43675359537,0,0.0,0.0,0.0,2.2533892732718988,,0.0
2025-02-03,0.10362352192276987,46873197417,0,0.0,0.0,0.0,0.10362352192276987,,0.0
2025-02-10,0.08537605837570905,46873197417,0,0.0,0.0,0.0,0.08537605837570905,,0.0
2025-02-17,0.04816502224241873,46873197417,0,0.0,0.0,0.0,0.04816502224241873,,0.0
2025-02-24,0.043308707225219185,46873197417,0,0.0,0.0,0.0,0.043308707225219185,,0.0
2025-02-03,0.100035625837508,33750578247,0,0.0,0.0,0.0,0.100035625837508,,0.0
2025-02-10,0.07867310740222558,33750578247,0,0.0,0.0,0.0,0.07867310740222558,,0.0
2025-02-17,0.013771108315312489,33750578247,0,0.0,0.0,0.0,0.013771108315312489,,0.0
2025-02-24,-0.05688660596265389,33750578247,0,0.0,0.0,-0.0,0.05688660596265389,,0.0
2025-02-03,0.38508867649399525,41844855933,0,0.0,0.0,0.0,0.38508867649399525,,0.0
2025-02-10,0.3217171675890448,41844855933,0,0.0,0.0,0.0,0.3217171675890448,,0.0
2025-02-17,0.42381570162584925,41844855933,0,0.0,0.0,0.0,0.42381570162584925,,0.0
2025-02-24,0.6802284668582446,41844855933,0,0.0,0.0,0.0,0.6802284668582446,,0.0
2025-02-03,0.026723354121670054,41844856242,0,0.0,0.0,0.0,0.026723354121670054,,0.0
